_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
101282,2000.32,PH200084,"Gutmann, John",John Gutmann,"The World's Egg Basket, Petaluma, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),"1938, printed ca. 1980",Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\2000\2000.320.jpg,http://www.sfmoma.org/explore/collection/artwork/101282
122653,2005.489,PH05.225,"Gutmann, John",John Gutmann,"High School Student Makes $2,264, Annually by Raising Superior Eating Chickens in Petaluma, California",gelatin silver print,13 1/4 in. x 10 1/4 in. (33.66 cm x 26.04 cm),1938,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\2005\2005.489_01_g04.jpg,
48341,,ST1998.0291,"Lavenson, Alma",Alma Lavenson,White Fences near Petaluma,gelatin silver print,7 5/8 in. x 9 13/16 in. (19.37 cm x 24.92 cm),1941,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\ST\ST1998.0291.jpg,http://www.sfmoma.org/explore/collection/artwork/48341
13397,82.324,,"Rogers, Art",Art Rogers,"The Pumpkin People-Petaluma, California",gelatin silver print,16 13/16 in. x 13 1/2 in. (42.7 cm x 34.29 cm),1980,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\1982\82.324_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/13397
114813,,UCPH03.382,"Smith, Michael A.",Michael A. Smith,"Near Petaluma, California",gelatin silver print,7 5/8 in. x 9 9/16 in. (19.37 cm x 24.29 cm),1990,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,,
14318,85.593,,"Wagner, Catherine",Catherine Wagner,"Petaluma, California",gelatin silver print,,1978,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\IMAGES\Artist Projects\photo copy\PT2\85.593.jpg,
9283,94.337,,"Lange, Dorothea",Dorothea Lange,"Cafe Near Pinole, California",gelatin silver print,"8-7/8 x 12-1/2""","1956, printed 1965",Pinole,Contra Costa,Pinole,2013360,,,,,,,California,photograph,I:\Images\04_Web\1994\94.337_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/9283
8117,91.284,,"Wessel, Henry",Henry Wessel,"Pismo Beach, California",gelatin silver print,8 in. x 11 7/8 in. (20.32 cm x 30.16 cm),1974,Pismo Beach,San Luis Obispo,Pismo Beach,2013369,,,,,,,California,photograph,I:\Images\04_Web\1991\91.284.jpg,http://www.sfmoma.org/explore/collection/artwork/8117
15568,95.74,,"Meisinger Jr., Richard J.",Richard J. Meisinger Jr.,"The New American Suburbs: New Development and Power Plant—Pittsburg, CA",gelatin silver print,12 7/8 in. x 20 in. (32.7 cm x 50.8 cm),1993,Pittsburg,Contra Costa,Pittsburg,2013374,,,,,,,California,photograph,I:\Images\04_Web\1995\95.74_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/15568
136862,2011.1,PH10.173,"Light, Ken",Ken Light,"Asthma, Francisco Martinez, Plainview, California",gelatin silver print,15 1/4 in. x 15 1/2 in. (38.74 cm x 39.37 cm),2007,Plainview,Tulare,Plainview,2013383,,,,,,,California,photograph,I:\Images\04_Web\2011\2011.100_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136862
